Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University _of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
LACMA,The largest western musem in the United States with distinguished collections that match the diversity of Los Angeles's population. ,34.064251,-118.360565,https://en.wikipedia.org/wiki/Los_Angeles_County_Museum_of_Art,https://upload.wikimedia.org/wikipedia/commons/f/f7/LACMA_BCAM_and_palm_trees.jpg
The Last Bookstore,"A brick and mortar book and record store, located in the heart of downtown LA, with selections that are carefully curated and moderately priced.",34.04601,-118.24496,https://en.wikipedia.org/wiki/The_Last_Bookstore,https://upload.wikimedia.org/wikipedia/commons/1/19/The_Last_Bookstore_%2816407372187%29.jpg
Rosalind's Ethiopian Restaurant,"A small yet always bustling restaurant known for their best-selling slow marinaded stew with chicken, located in West La",34.0568631,-118.3641526,https://rosalindsla.com/,https://upload.wikimedia.org/wikipedia/commons/e/ed/Little_Ethiopia_%285701400965%29.jpg
Unitarian Society of Santa Barbara,"Located in the outskirts of Downtown Santa Barbara, this spiritual sanctuary stands tall as a beacon of progressive religions and identities.",34.422447,-119.697561,https://www.ussb.org/,https://www.ussb.org/wp-content/uploads/2014/06/Unitarian_Church-4_300cmyk.jpg
Universal Studios ,One of the most famous film studio and theme parks with amazing rides and attractions that definitely make the hour long lines worth it.,34.1415848,-118.3560167,https://en.wikipedia.org/wiki/Universal_Studios_Hollywood,https://upload.wikimedia.org/wikipedia/commons/a/af/2004-04-04_-_10_-_Universal_Studios.jpg
